id,uid,startTime,endTime,pDrinkQ1,pDrinkQ1aLoc1,pDrinkQ1aLoc2,pDrinkQ1aLoc3,pDrinkQ1b,pDrinkQ1c,conseqQ1,conseqQ2,conseqQ3,conseqQ4,conseqQ5,conseqQ6,conseqQ7,conseqQ8,conseqQ9,outQ1,outQ2,outQ3,outQ3a,motivesQ1,motivesQ2,motivesQ3,motivesQ4,motivesQ5,motivesQ6,motivesQ7,motivesQ8,motivesQ9,motivesQ10,motivesQ11,motivesQ12,pDrugQ1,pDrugQ1a,pDrugQ2,pDrugQ2a,pDrugQb
9cdd1c71-ac80-4a05-b768-34f7cccf182e,69Lh1Lm26H,2021-12-27 14:56:35,2021-12-27 14:57:02,No,,,,,,No,No,No,No,No,No,No,No,No,1,1,No,,1,1,1,1,1,1,1,1,1,1,1,1,No,,No,,
78275a99-42fc-4d08-9fb5-c1c48cd8abbe,bUp7WizH8L,2021-12-21 10:48:23,2021-12-21 10:49:10,No,,,,,,No,No,No,No,No,No,No,No,No,1,1,No,,2,1,2,2,2,2,1,1,1,1,1,1,No,,No,,
dbfdb24d-7005-44ff-a5a2-1438d4177ff6,t45dt57tCz,2021-12-16 12:19:01,2021-12-16 12:20:55,Yes,"Hadley Village 103 (Hadley Village 103, Buffalo, NY 14261, USA)",,,4,3,No,No,No,No,No,No,No,No,No,1,1,No,,1,1,1,1,1,1,1,1,1,1,1,1,No,,No,,
c786c650-eb8a-487a-b68e-0f92ec95c339,69Lh1Lm26H,2021-12-29 14:15:42,2021-12-29 14:16:10,No,,,,,,No,No,No,No,No,No,No,No,No,1,1,No,,1,1,1,1,1,1,1,1,1,1,1,1,No,,No,,
acf363f8-e289-4eac-81c0-1dfd22d1c127,bUp7WizH8L,2021-12-16 07:48:30,2021-12-16 07:50:35,No,,,,,,No,No,No,No,No,No,No,No,No,1,1,No,,1,1,1,1,2,2,1,1,1,1,1,1,No,,No,,
007257cd-8c19-4c0c-8668-a0f3bf5f7201,bUp7WizH8L,2021-12-15 10:00:30,2021-12-15 10:01:47,No,,,,,,No,No,No,No,No,No,No,No,No,1,5,No,,1,1,2,1,1,2,1,1,1,1,1,2,No,,No,,
bf25cd61-d797-4828-931b-373e061dd3d1,t45dt57tCz,2021-12-15 10:50:42,2021-12-15 10:52:51,Yes,"Applebee's Grill + Bar (1641 Niagara Falls Blvd, Amherst, NY 14228, USA)",,,1,1,No,No,No,No,No,No,No,No,No,1,1,No,,1,1,1,1,1,1,1,1,1,1,1,1,No,,No,,
d18237c1-8076-40eb-81cc-5e1f7918d1b0,bUp7WizH8L,2021-12-20 12:10:45,2021-12-20 12:11:55,No,,,,,,No,No,No,No,No,No,No,No,No,1,1,No,,1,1,2,2,2,2,1,1,1,1,1,1,No,,No,,
fe85351c-73dd-4c8d-b066-bceeadbc93f7,69Lh1Lm26H,2021-12-24 09:02:48,2021-12-24 09:03:21,No,,,,,,No,No,No,No,No,No,No,No,No,1,1,No,,1,1,1,1,1,1,1,1,1,1,1,1,No,,No,,
307651c6-a168-4fa7-a32a-2dc4331933c8,bUp7WizH8L,2021-12-22 10:15:29,2021-12-22 10:16:17,No,,,,,,No,No,No,No,No,No,No,No,No,1,1,No,,1,1,1,1,1,1,1,1,1,1,1,1,No,,No,,
8faa6866-3843-4406-b7af-6c1710a738b1,69Lh1Lm26H,2021-12-25 09:05:18,2021-12-25 09:05:54,No,,,,,,No,No,No,No,No,No,No,No,No,1,1,No,,1,1,1,1,1,1,1,1,1,1,1,1,No,,No,,
932727ac-31c3-411b-b756-13d0a7cc21f7,bUp7WizH8L,2021-12-18 12:53:05,2021-12-18 12:54:27,Yes,"112 Fargo Ave (112 Fargo Ave, Buffalo, NY 14201, USA)",,,4,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,No,,1,1,2,3,4,4,1,1,2,1,1,1,No,,No,,
a5dfa68f-631b-4f4b-a3df-92b50e75232a,t45dt57tCz,2021-12-20 12:21:29,2021-12-20 12:22:04,No,,,,,,No,No,No,No,No,No,No,No,No,1,1,No,,1,1,1,1,1,1,1,1,1,1,1,1,No,,No,,
13702901-78db-4974-8cb9-979489fc1cbf,69Lh1Lm26H,2021-12-22 14:50:22,2021-12-22 14:51:06,No,,,,,,No,No,No,No,No,No,No,No,No,1,1,No,,1,1,1,1,1,1,1,1,1,1,1,1,No,,No,,
e2021fe2-02af-4844-bbf8-bf6f3cdfa953,69Lh1Lm26H,2021-12-26 12:16:55,2021-12-26 12:19:00,Yes,"121 N 21st St (121 N 21st St, Olean, NY 14760, USA)",,,4,6,No,No,No,No,No,No,No,No,No,1,1,No,,1,1,1,1,1,1,1,1,1,1,1,1,No,,No,,
b67591d4-ded2-4868-9f3b-b1b865ac9c24,t45dt57tCz,2021-12-19 12:21:04,2021-12-19 12:22:14,Yes,"38 Yolanda Dr (38 Yolanda Dr, Rochester, NY 14624, USA)",,,1,0,No,No,No,No,No,No,No,No,No,1,1,No,,1,1,1,1,1,1,1,1,1,1,1,1,No,,No,,
13083f6c-bd1f-4e87-8427-6cbc477aa608,t45dt57tCz,2021-12-18 12:40:26,2021-12-18 12:41:04,No,,,,,,No,No,No,No,No,No,No,No,No,1,1,No,,1,1,1,1,1,1,1,1,1,1,1,1,No,,No,,
3b98c7e4-5d47-46cc-b3fa-c94c755cc766,bUp7WizH8L,2021-12-19 10:22:33,2021-12-19 10:23:17,No,,,,,,No,No,No,No,No,No,No,No,No,1,1,No,,4,1,2,2,3,4,1,1,1,1,1,1,No,,No,,
da3b8a12-aff7-425d-a6f7-06ba3d592180,69Lh1Lm26H,2021-12-21 13:00:48,2021-12-21 13:02:14,No,,,,,,No,No,No,No,No,No,No,No,No,1,1,No,,1,1,1,1,1,1,1,1,1,1,1,1,No,,No,,
98b2efce-7b6a-4eb9-8bca-1ff8e79d7fc7,t45dt57tCz,2021-12-21 07:52:53,2021-12-21 07:53:42,No,,,,,,No,No,No,No,No,No,No,No,No,1,1,No,,1,1,1,1,1,1,1,1,1,1,1,1,No,,No,,
