id,uid,startTime,endTime,expQ1,expQ2,expQ3,expQ4,expQ5,expQ6,expQ7,expQ8,expQ8a,regQ1,regQ2,regQ3,regQ4,regQ5,regQ6,regQ7,regQ8,regQ9,regQ10,regQ11,regQ12,regQ13,regQ14,regQ15,regQ16,regQ17,regQ18,regQ19,drinkingQ1,drinkingQ2,drinkingQ3,drinkingQ3a,drinkingQ3b,drinkingQ4,drinkingQ4a,drinkingQ5,drinkingQ6,drinkingQ7,drinkingQ8,drinkingQ9,drinkingQ9a,emaMotivesQ1,emaMotivesQ2,emaMotivesQ3,emaMotivesQ4,emaMotivesQ5,emaMotivesQ6,emaMotivesQ7,emaMotivesQ8,emaMotivesQ9,emaMotivesQ10,emaMotivesQ11,emaMotivesQ12
9bbf4bca-a8fc-453a-864d-f7f2afc0ca49,iwsNA7nDMh,2022-03-15 11:43:47,2022-03-15 11:45:14,b,4,3,1,5,2,11:30,Yes,,2,1,4,4,2,2,4,5,5,2,4,1,1,4,5,5,2,3,1,1,1,No,,,No,,No,4,1,1,No,,1,1,1,1,1,1,1,1,1,4,3,4
8e58d170-db9b-4469-b95d-d91049f9f404,iwsNA7nDMh,2022-03-14 18:17:47,2022-03-14 18:19:39,b,2,5,1,5,3,17:50,Yes,,1,3,2,4,4,5,4,5,4,3,4,2,5,1,2,4,3,2,2,1,1,Yes,21:30,,No,,No,4,1,1,No,,1,1,1,1,1,1,2,1,2,1,2,2
200d7991-a22e-4b3d-8f78-729976831071,iwsNA7nDMh,2022-03-16 17:55:51,2022-03-16 17:57:17,b,2,1,3,4,1,17:56,Yes,,1,4,4,4,2,4,2,4,3,3,3,4,4,4,3,4,2,2,1,1,1,No,,,No,,No,5,1,1,No,,1,1,1,1,1,1,1,1,1,5,1,2
60bb8142-beb2-46c3-b72e-418a628604c2,nnziInMDTH,2022-03-11 15:52:29,2022-03-11 15:54:26,a,7,7,1,5,3,14:50,No,15:43,2,3,3,2,2,3,2,2,3,3,3,2,3,3,3,2,2,3,4,2,2,No,,,No,,Yes,5,1,1,No,,1,2,2,1,1,2,2,1,1,2,2,1
a34e323a-9ca9-4a61-b8b1-3df0877380e9,iwsNA7nDMh,2022-03-13 15:59:05,2022-03-13 16:00:37,a,7,2,4,1,4,14:50,Yes,,2,1,4,4,2,3,4,5,2,3,2,2,1,1,4,2,3,3,2,1,1,No,,,No,,No,3,1,1,No,,1,1,1,1,1,1,1,1,1,1,1,2
0cb90296-cb8e-4f09-b7c2-847a12ba1672,nnziInMDTH,2022-03-11 20:33:11,2022-03-11 20:35:06,b,0,0,1,7,9,20:4,No,20:28,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,2,1,No,,,No,,No,4,1,1,No,,3,3,3,3,3,2,3,2,3,3,2,3
3aa1c203-3871-4f56-90a7-c5d56d3a07b8,iwsNA7nDMh,2022-03-12 17:29:31,2022-03-12 17:31:34,a,0,9,1,2,7,17:20,Yes,,5,5,2,1,5,4,4,5,1,4,1,5,4,1,2,4,5,4,4,1,1,No,,,No,,Yes,5,1,1,No,,1,1,1,1,1,1,1,1,1,1,1,1
f29e6386-7cf9-4c9c-a457-8f42a26cba78,iwsNA7nDMh,2022-03-16 20:39:10,2022-03-16 20:40:47,a,7,1,1,5,1,20:39,Yes,,2,2,4,5,1,5,3,5,4,1,4,2,1,1,5,2,4,1,1,1,1,No,,,No,,No,5,1,1,No,,1,1,1,1,1,1,1,1,1,4,4,4
715e1cac-7ef2-4684-b649-5d4b067dd305,iwsNA7nDMh,2022-03-14 20:27:26,2022-03-14 20:29:05,a,2,6,3,4,4,20:22,Yes,,1,3,4,4,2,2,2,2,3,4,4,2,3,2,4,2,4,2,2,1,1,No,,,Yes,Yes,Yes,4,1,1,No,,1,1,1,1,1,1,1,2,2,1,2,2
7184cdcd-c19a-427b-ae1e-3bec43856144,iwsNA7nDMh,2022-03-15 08:53:15,2022-03-15 08:54:39,a,0,6,1,6,0,8:40,Yes,,1,4,4,5,2,4,2,4,2,4,4,4,4,4,5,2,5,5,2,1,1,No,,,No,,No,4,1,1,No,,2,2,1,2,1,2,2,2,2,2,2,1
